Timestamp,Humidity,Temprature,Pressure
2018-02-04 16:40:02,32.4931869507,36.0845870972,996.925048828
2018-02-04 16:50:02,32.0786018372,36.6893806458,997.043945312
2018-02-04 17:00:02,30.9541931152,36.9642868042,996.928466797
2018-02-04 17:10:02,30.7186336517,37.1658859253,997.1015625
2018-02-04 17:20:02,30.3354549408,37.1658859253,996.909667969
2018-02-04 17:30:02,30.6149864197,37.0192642212,996.924316406
2018-02-04 17:40:02,30.3637218475,37.0925750732,997.178222656
2018-02-04 17:50:03,30.0025291443,37.1109008789,996.936523438
2018-02-04 18:00:02,30.2286682129,37.0742492676,997.006347656
2018-02-04 18:10:02,30.1752738953,37.1109008789,996.822265625
2018-02-04 18:20:02,31.2117404938,37.0375938416,996.924316406
2018-02-04 18:30:02,30.8568286896,37.1109008789,996.733886719
